recommender,TopK,shrink,MAP
ItemKNNCFRecommender,55,116,0.002755229432597009
ItemKNNCFRecommender,77,105,0.0027242095340008665
ItemKNNCFRecommender,57,115,0.002755229432597009
ItemKNNCFRecommender,32,100,0.002460062676756096
ItemKNNCFRecommender,57,116,0.002755229432597009
ItemKNNCFRecommender,59,108,0.002755229432597009
ItemKNNCFRecommender,30,115,0.002533121862977401
ItemKNNCFRecommender,58,112,0.002755229432597009
ItemKNNCFRecommender,55,126,0.002683635251853551
ItemKNNCFRecommender,58,110,0.002755229432597009
ItemKNNCFRecommender,36,111,0.0025257968355881684
ItemKNNCFRecommender,45,120,0.0025043950164335403
ItemKNNCFRecommender,45,121,0.0025043950164335403
ItemKNNCFRecommender,25,129,0.0024517822110117463
ItemKNNCFRecommender,59,130,0.0026818517669239986
ItemKNNCFRecommender,59,107,0.002755229432597009
ItemKNNCFRecommender,45,116,0.002577772682106551
ItemKNNCFRecommender,57,111,0.002755229432597009
ItemKNNCFRecommender,58,108,0.002755229432597009
ItemKNNCFRecommender,52,108,0.00271554689291447
ItemKNNCFRecommender,55,109,0.002755229432597009
ItemKNNCFRecommender,76,115,0.0027242095340008665
ItemKNNCFRecommender,10,107,0.00224910188794619
ItemKNNCFRecommender,37,137,0.0024517822110117463
ItemKNNCFRecommender,56,117,0.002755229432597009
ItemKNNCFRecommender,57,112,0.002755229432597009
ItemKNNCFRecommender,27,135,0.0024526739534765224
ItemKNNCFRecommender,84,112,0.0027052918545695435
ItemKNNCFRecommender,57,113,0.002755229432597009
ItemKNNCFRecommender,47,121,0.002500573263013071
ItemKNNCFRecommender,55,118,0.002685673520344468
ItemKNNCFRecommender,201,110,0.0023844556549211444
ItemKNNCFRecommender,40,146,0.002443501745267396
ItemKNNCFRecommender,101,117,0.002608983668373717
ItemKNNCFRecommender,53,123,0.002642169227241459
ItemKNNCFRecommender,52,107,0.00271554689291447
ItemKNNCFRecommender,62,112,0.002755229432597009
ItemKNNCFRecommender,60,104,0.002755229432597009
ItemKNNCFRecommender,62,114,0.002755229432597009
ItemKNNCFRecommender,75,103,0.0027242095340008665
ItemKNNCFRecommender,378,112,0.0025514662793956534
ItemKNNCFRecommender,57,113,0.002755229432597009
ItemKNNCFRecommender,64,127,0.0026818517669239986
ItemKNNCFRecommender,36,113,0.0025257968355881684
ItemKNNCFRecommender,19,120,0.002472738158933986
ItemKNNCFRecommender,23,109,0.002513312441081302
ItemKNNCFRecommender,46,110,0.002573950928686082
ItemKNNCFRecommender,10,106,0.00224910188794619
ItemKNNCFRecommender,33,116,0.002538281230095035
ItemKNNCFRecommender,46,123,0.002500573263013071
ItemKNNCFRecommender,51,110,0.0025550332492547587
ItemKNNCFRecommender,88,112,0.0027052918545695435
ItemKNNCFRecommender,219,168,0.0023301867563504807
ItemKNNCFRecommender,57,115,0.002755229432597009
ItemKNNCFRecommender,62,113,0.002753445947667457
ItemKNNCFRecommender,58,118,0.002685673520344468
ItemKNNCFRecommender,62,113,0.002753445947667457
ItemKNNCFRecommender,73,115,0.0027242095340008665
ItemKNNCFRecommender,59,114,0.002755229432597009
ItemKNNCFRecommender,35,104,0.002525159876684757
ItemKNNCFRecommender,58,113,0.002755229432597009
ItemKNNCFRecommender,57,108,0.002755229432597009
ItemKNNCFRecommender,57,113,0.002755229432597009
ItemKNNCFRecommender,48,129,0.002500573263013071
ItemKNNCFRecommender,41,114,0.002520701164360876
ItemKNNCFRecommender,73,109,0.0027242095340008665
ItemKNNCFRecommender,54,122,0.0026368187724528022
ItemKNNCFRecommender,40,117,0.002520701164360876
ItemKNNCFRecommender,28,119,0.002432800835690082
ItemKNNCFRecommender,56,103,0.002755229432597009
ItemKNNCFRecommender,88,109,0.0027052918545695435
ItemKNNCFRecommender,93,104,0.0026892404902035725
ItemKNNCFRecommender,269,113,0.0025610206629468266
ItemKNNCFRecommender,78,112,0.0027242095340008665
ItemKNNCFRecommender,39,118,0.002453374608270275
ItemKNNCFRecommender,57,102,0.002747203750414024
ItemKNNCFRecommender,60,104,0.002755229432597009
ItemKNNCFRecommender,67,108,0.002749433106575964
ItemKNNCFRecommender,51,103,0.0025550332492547587
ItemKNNCFRecommender,50,121,0.0024925475808300853
ItemKNNCFRecommender,58,108,0.002755229432597009
ItemKNNCFRecommender,60,101,0.0027525542052026807
ItemKNNCFRecommender,46,107,0.002573950928686082
ItemKNNCFRecommender,41,106,0.0025189176794313236
ItemKNNCFRecommender,69,109,0.0027242095340008665
ItemKNNCFRecommender,29,113,0.0025487910520013255
ItemKNNCFRecommender,58,125,0.0026818517669239986
ItemKNNCFRecommender,84,101,0.002702616627175215
ItemKNNCFRecommender,36,117,0.0025257968355881684
ItemKNNCFRecommender,387,109,0.002531593161609213
ItemKNNCFRecommender,86,105,0.0027052918545695435
ItemKNNCFRecommender,68,116,0.002731343473719076
ItemKNNCFRecommender,70,114,0.0027242095340008665
ItemKNNCFRecommender,54,104,0.0027084129531962605
ItemKNNCFRecommender,19,110,0.002552994980763842
ItemKNNCFRecommender,61,100,0.0027525542052026807
ItemKNNCFRecommender,58,112,0.002755229432597009
ItemKNNCFRecommender,61,100,0.0027525542052026807
ItemKNNCFRecommender,57,121,0.0026818517669239986
ItemKNNCFRecommender,69,101,0.002737585670972509
ItemKNNCFRecommender,47,102,0.002565925246503096
ItemKNNCFRecommender,42,92,0.002516242452036995
ItemKNNCFRecommender,58,116,0.002755229432597009
ItemKNNCFRecommender,61,111,0.002755229432597009
ItemKNNCFRecommender,75,117,0.0027242095340008665
ItemKNNCFRecommender,81,109,0.0027052918545695435
ItemKNNCFRecommender,33,106,0.002525159876684757
ItemKNNCFRecommender,49,124,0.002500573263013071
ItemKNNCFRecommender,50,123,0.0024925475808300853
ItemKNNCFRecommender,34,113,0.002528026191750109
ItemKNNCFRecommender,67,98,0.002741407424392979
ItemKNNCFRecommender,72,105,0.0027242095340008665
ItemKNNCFRecommender,43,111,0.00254299472598028
ItemKNNCFRecommender,57,119,0.0026818517669239986
ItemKNNCFRecommender,184,116,0.0024714005452368213
ItemKNNCFRecommender,56,111,0.002755229432597009
ItemKNNCFRecommender,59,113,0.002755229432597009
ItemKNNCFRecommender,64,111,0.0027512165915055163
ItemKNNCFRecommender,57,108,0.002755229432597009
ItemKNNCFRecommender,47,106,0.002573950928686082
ItemKNNCFRecommender,54,107,0.0027084129531962605
